Place A,Place B,Distance
Arad,Zerind,75
Arad,Timisoara,118
Arad,Sibiu,140
Bucharest,Giurgiu,90
Bucharest,Urziceni,85
Craiova,Rimnicu Vilcea,146
Craiova,Pitesti,138
Drobeta,Craiova,120
Fagaras,Bucharest,211
Hirsova,Eforie,86
Iasi,Neamt,87
Lugoj,Mehadia,70
Mehadia,Drobeta,75
Oradea,Sibiu,151
Timisoara,Lugoj,111
Pitesti,Bucharest,101
Rimnicu Vilcea,Pitesti,97
Sibiu,Fagaras,99
Sibiu,Rimnicu Vilcea,80
Urziceni,Vaslui,142
Urziceni,Hirsova,98
Vaslui,Iasi,92
Zerind,Oradea,71
Zerind,Arad,75
Timisoara,Arad,118
Sibiu,Arad,140
Giurgiu,Bucharest,90
Urziceni,Bucharest,85
Rimnicu Vilcea,Craiova,146
Pitesti,Craiova,138
Craiova,Drobeta,120
Bucharest,Fagaras,211
Eforie,Hirsova,86
Neamt,Iasi,87
Mehadia,Lugoj,70
Drobeta,Mehadia,75
Sibiu,Oradea,151
Lugoj,Timisoara,111
Bucharest,Pitesti,101
Pitesti,Rimnicu Vilcea,97
Fagaras,Sibiu,99
Rimnicu Vilcea,Sibiu,80
Vaslui,Urziceni,142
Hirsova,Urziceni,98
Iasi,Vaslui,92
Oradea,Zerind,71
